text,depressive
I don't know how to feel about drawing right now.  The motivation has bottomed out for the longest time in a while... it just feels empty.  Makes me feel scared that Inktober last year really was my last big push.,0
"I can't unmute it, as it isn't my list, and when I go to my lists it shows as empty.

Feel like I've wrecked my Bluesky follows now 😔",0
"Im Katara, Im working on a couple webcomics (& failing to not to write a third, the blue one is a WIP of the prologue) 

I've been struggling with finding a balance between too much background and not nearly enough and though i push my values in post im still losing my focus at times. any thoughts?",0
"Okay, already trying to get a feel for what the new displays will look like, and I gotta say: even though I was hesitant to buy 8 fucking dessert plates (who needs 8 fucking dessert plates?) they're great for filling in empty space.",0
"I’m struggling to cope with the outcome of the election. In my heart, I thought we were better than this.  In the past, I have voted for candidates from both political parties.  I feel empty inside.",0
I just finished the season finale of Arcane. I feel empty inside.,0
"Omg i got out and did maybe 10 miles yesterday, then ended up helping a couple random women empty a whole uhaul in the rain. And oh wow, oh wow.  I feel ya brother",0
"I feel empty and dead inside.
HaH another random ass shower though.
It's fine, I'm fine.",0
"Yesterday I was you. I kept it empty but alive. But this morning I said why? That site is full of hate and makes me feel bad about humanity in general. I don't want that anymore, now or ever. So I deleted it. I'm much happier now",0
"But so far its just, empty promises, empty plans, no responses, no desire to plan... It just absolutely sucks.Like I can't tell if people just want to specifically be called upon or out in a group, but I feel like the point of a group is- When someone asks in it- it means EVERYONE is being asked.",0
I feel the air crackling with something real. Would love to connect with fellow poets and magicians,0
"And to be completely honest even if I could move I'd feel empty since my best friend wouldn't be with me. So it's kind of fucking pointless as it is. Lonely here, lonely wherever there is

I'm basically fucked.",0
"All of above and an empty shell of a human being. His sense of self is analogous to a rusted bucket full of holes. It can never be (ful)filled. When I gain control of my rage toward him, I feel very sorry for him. Sad, sad man.",0
"i like everything from world, to mechanics, to all be feeding into the overall 'vibe' of a game some of these things may cause friction or feel boring to others such as slowly riding around the often empty world of red dead between missions but for me it adds to the lonely and melancholy atmosphere",0
"The thing they don't really tell you about direct grief is how utterly paralyzing it is. I'm going through the motions and doing the things I need to do, but my heart is just empty and I feel pointless. 
And of course *gestures wildly* none of this helps either.",0
"Honestly that's so valid!! I gave a bunch of prints of stuff I made to my friends after I did my uni display and seeing my work in their place it's fun lmao 

Artwork also just makes apartments feel less empty and boring",0
"Hey, good morning people. Hope you have a good day and a nice weekend❤️🫂

I've kinda had conflicting thoughts lately, I feel like I want to return to Twitter again. Not because I like it, no not at all. But mainly it seems most friends don't really care about this place and it kinda feels empty.",0
"My illness is my identity because it has eaten up every other aspect of me. It has robbed me of experiences and kept me from learning skills. 
I feel empty

If it is upsetting to you when people ""make their illness their identity"" maybe help us fight the systematic injustice that keeps us ill
#mecfs",0
"Touch me. I don't care about the world outside. All I can see is you.
Touch me please
Feel the wet slip of my craving, the empty hold of my gaping addiction for you
Touch me.
Here. Now.
And let the world disappear
In the fumes of sex and absolution.",0
"The few people that do don't even understand what I've been through
I feel
Empty
Someone or something is gone
I am rotting
Rotting away into nothing",0
"Just past one year on July 1. Here's a full history as graph 📈, ('cos of course I'm data sciencing my transition!) ⤵
I just started moving to a 5-day schedule with 5mg/1mL EV IM injections, which is what I can get an Rx for here. But still not good: feel crappy on the day before my shot. Tank empty!",0
"I wish hyv would do some small updates to mond and liyue maps, some areas feel so empty compared to newer regions, like idk just add some buildings and ruins here and there",0
I feel bad for how empty the venue is. They've drastically discounted the non-front tickets and were giving tickets away on Facebook.,0
What to Do If You Feel Empty Inside www.verywellmind.com/i-feel-empty... #mentalhealth,0
"bin exakt in der selben situation, ich versuche einfach mir keinen druck zu machen, bin ja kein profi und niemandem verpflichtet. fand auch den post von jonas fischer heute sehr passend",0
"I feel similarly about Metroid 2. The original is is an empty, dark, off kilter experience that was written around the severe limitations of the Gameboy. The bright, colorful remakes just can't capture its atmosphere",0
I feel so empty right now.,0
"Sorry I just feel the need to show off my Halloween profile because it makes me laugh 

No thoughts
Head empty",0
"So I have...872 hours in the Smite on PS4 alone. Add another several hundred on Xbox and PC. I'm...very glad that Smite 2 still feels fun. Unbelievably, a few of my mains(Athena, Mulan) already made it in, but I still feel empty without Maman Brigitte 😭",0
"i feel like bsky is dying idk, it feels so empty and the tl doesn't have anything new :(",0
"I agree with this. I've been fairly deeply involved in some (very local, fairly successful) organizing the past 7 years and to be honest when I see someone say ""organize"" I also feel confusion and empty-handed as to the first step there!",0
"Debating on whether I should empty the contents before I leave or after I get back.

Because it’s waaay too many pretty things on the TL today. And they making me feel some type of way.",0
"It’s weird how I snapped out of it. And I feel like I snapped even more out of it with the end of the war in Afghanistan. 

I could go through the motions and vote blue anyway…. But I had no enthusiasm. I was a husk of my 2009-2012 self. I left half the ballot empty. And I felt empty.",0
Tik tok is gone. I feel empty :(,0
"i feel like 60% of this games design issues could be solved by removing auto lock on given how much i feel it is alone bad but also makes areas just feel empty because enemies are so spaced out
it feels like the areas dont deserve to be as big as they are but more enemies would fix that i think",0
"i miss my best friend, its been almost two months since our relationship ended and i still feel so lost and empty, when will i no longer dread waking up alone. it feels like she's in the air i breathe, shes there everywhere i turn, it used to bring comfort but now it only breaks my heart",0
3/3,0
Ughh thisss :/ makes me feel so empty when I wake up now,0
https://bsky.app/profile/scab-eater.bsky.social/post/3l75j4b3gvd25,0
"Something about those mostly empty rooms, half the time the people in them feel vaguely threatening even though it's just a trivia game. I think the NPCs would give vague flavor text about being trapped in these rooms because they couldn't solve the trivia questions? Which added a lot to the vibe.",0
"They all have their appeal, and I think some fit contexts better than others.

- Empty/Glowing Eyes are the ""Standbys"".

- Heart/Kaa/Spiral tend to be ""Mesmerizing and makes you feel good"". 

- Shrunken Irises/Whited Out lean toward ""Unsettling Gazes and low-key creepy"".",0
"just had to say goodbye to dumb little furry orange. she was 14 years old and sweetiest, roundest girl to ever paw me in the face and scratch on my doors.

my life is going to feel a lot more empty without a big purring pillow fighting for bed real estate.

i love you big girl. rest in peace orange.",0
the timing of this question on my tl is so funny bc only yesterday was i clutching my head over the lyrics to taidada by zutomayo #raon,0
"I feel empty & done 

On the recruitment part, yes we gambled in the summer & it hasn't worked

We've gone for Plan B, C, etc. in the past so I don't know why we decided to delay the attacking signing for another year & settle with the Sterling loan

I'm expecting top picks for the summer",0
An attempt was made. It’s not high art or anything — but it feels “good” to put some feelings into words.,0
"Is it odd the concept of love leaves an empty feeling inside? I feel sadness at the passing of my father and pets. But when family or someone who said they loved me do something like hug me, i just feel empty inside. Getting a gift fills me more with dread and regret then happiness",0
"LLM based AI's do currently recommend wasting water for the simplest of problems.

I asked Bing Copilot: ""I have a 6 liter jug and a 10 liter jug. How do I measure out 6 liters of water?""

By my reckoning the answer it gave would have wasted 14 liters more water than was asked for

Also 10 - 2 = 6?",0
"I wish I wouldn't feel like crying all the time.
What is going on?
I feel empty and irrelevant. I'm going nowhere so why should I go at all?
I thought I was over these thoughts but here they are again for stupid reasons and I don't think I can talk to anyone about this.",0
"i feel like i finally have enough friends on here that i can unfollow all the big accounts i don't follow on twitter, they'd always gotten rt'd to my feed there but here the tl was too empty for a long time lol",0
I feel empty watching this week's arcane episodes.,0
"Today is the anniversary of my most recent dog passing, he meant the world to me and finding *this* out just made me feel so empty inside on top of everything else. I try at least remember the happy memories on days like today~",0
